"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"1708149711645892871","https://twitter.com/AmgenMexico/status/1708149711645892871","La OMS indica que el mieloma múltiple representa el 1% de todas las neoplasias malignas y entre 10-15% de las neoplasias hematológicas.

Para conocer más, descarga nuestra #Hematopedia: https://t.co/c6in8q6Nb9 

#MM #SeptiembreHematológico https://t.co/CGN3yZMbS6","2023-09-30 16:00 +0000","37.0","1.0","0.02702702702702703","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1707832648641532096","https://twitter.com/AmgenMexico/status/1707832648641532096","¡Es oficialmente el #DíaMundialdelCorazón! Las enfermedades cardiovasculares son la crisis de salud mundial más subestimada. La buena noticia es que se pueden reducir riesgos. 

Más en: https://t.co/qnnRsVcNvm

#Redúcelo #WHD #ElColesterolNoAvisa #AmgenCardiovascular #AimLow https://t.co/W5LZDzPan2","2023-09-29 19:00 +0000","57.0","3.0","0.05263157894736842","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","12","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1707764672290500646","https://twitter.com/AmgenMexico/status/1707764672290500646","Hoy se conmemora el Día Mundial de la Trombocitopenia Inmune Primaria, trastorno de la sangre en el que la capacidad de coagulación se ve afectada por la disminución de plaquetas.

Lee más en nuestra #Hemotopedia: https://t.co/7GkjWsT7uo

#TIP #SeptiembreHematológico https://t.co/c9fyUYaxCY","2023-09-29 14:30 +0000","43.0","1.0","0.023255813953488372","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1707168267188473971","https://twitter.com/AmgenMexico/status/1707168267188473971","Las enfermedades del corazón y accidentes cerebrovasculares han incrementado. Para el año 2035, se espera que la incidencia aumente un 40%. 

Más información en: https://t.co/1ng4KKahOd

#Redúcelo #DíaMundialDelCorazón #WHD #ElColesterolNoAvisa #AmgenCardiovascular #AimLow https://t.co/rVhjmkncox","2023-09-27 23:00 +0000","255.0","9.0","0.03529411764705882","2.0","0.0","0.0","2.0","2.0","0.0","0.0","0.0","0","0","0","0","0","53","3","10988.0","189.0","0.01720058245358573","11.0","1.0","96.0","6.0","0.0","5.0","48.0","0.0","0","0","0","0","0","2381","22"
"1707056263509520824","https://twitter.com/AmgenMexico/status/1707056263509520824","En @Amgen estamos comprometidos con el talento con alguna discapacidad, física, cognitiva o con componente emocional, por ello a través del grupo de recursos de empleados ABLE - Ability Bettered Through Leadership and Education – impulsamos su inclusión. 

#WeAreAmgen #ABLE https://t.co/isnaKLGc1H","2023-09-27 15:35 +0000","67.0","4.0","0.05970149253731343","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1706805853980893245","https://twitter.com/AmgenMexico/status/1706805853980893245","Reducir los niveles de colesterol malo (LDL) es importante para evitar enfermedades cardiovasculares. Aquí hay 5 consejos para disminuirlos:

Más información en: https://t.co/Meq0iL9K08

#Redúcelo #DíaMundialDelCorazón #WHD #ElColesterolNoAvisa #AmgenCardiovascular #AimLow https://t.co/hfFSm80so3","2023-09-26 23:00 +0000","160.0","4.0","0.025","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","4","4","11864.0","343.0","0.028910991233985165","12.0","0.0","128.0","2.0","9.0","5.0","41.0","0.0","0","0","3","0","0","143","143"
"1706686322612605206","https://twitter.com/AmgenMexico/status/1706686322612605206","Para muchas personas, un trasplante es la única alternativa ante ciertas enfermedades graves. En México, según el Centro Nacional de Trasplantes, durante el primer trimestre de 2023 se realizaron 636 trasplantes de órganos. #WeAreAmgen #DonarSalvaVidas https://t.co/a68JboiPTh","2023-09-26 15:05 +0000","63.0","3.0","0.047619047619047616","1.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1706428389823803431","https://twitter.com/AmgenMexico/status/1706428389823803431","El colesterol LDL puede causar daños graves en el corazón. Mantenerlo bajo control se puede lograr con ejercicio, dieta balanceada y visitas al médico. 💙 🛡️

Más en: https://t.co/wwoBOtnp4K

#Redúcelo #DíaMundialDelCorazón #WHD #ElColesterolNoAvisa #AimLow #AmgenCardiovascular https://t.co/MQMcSpOtfn","2023-09-25 22:00 +0000","193.0","7.0","0.03626943005181347","1.0","0.0","0.0","2.0","0.0","0.0","1.0","0.0","0","0","0","0","0","35","3","11522.0","194.0","0.016837354625933","9.0","0.0","103.0","6.0","1.0","3.0","53.0","0.0","0","0","1","0","0","1964","18"
"1706413675857281371","https://twitter.com/AmgenMexico/status/1706413675857281371","Según la Organización Mundial de la Salud, las enfermedades cardiovasculares son la primera causa de muerte a nivel global.

Los altos niveles de colesterol incrementan la posibilidad de desarrollar una enfermedad cardiovascular.

En el marco del Día Mundial del Corazón,… https://t.co/ZuKonKtKr2","2023-09-25 21:01 +0000","82.0","2.0","0.024390243902439025","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1706337774754750506","https://twitter.com/AmgenMexico/status/1706337774754750506","En el mieloma múltiple, la proliferación desmedida de células plasmáticas en la médula ósea puede desplazar a las células productoras de células sanguíneas normales.

Lee más en la #Hematopedia: https://t.co/3obnXpeaT6 

#MM #SeptiembreHematológico https://t.co/knfp7R04SO","2023-09-25 16:00 +0000","276.0","6.0","0.021739130434782608","2.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","3","3","17352.0","201.0","0.011583679114799447","8.0","0.0","77.0","8.0","5.0","2.0","65.0","0.0","0","0","1","0","0","35","35"
"1706075034526359801","https://twitter.com/AmgenMexico/status/1706075034526359801","Este viernes 29 de septiembre a las 7:00 p.m., el doctor Marco Antonio Alcocer Gamba, platicará sobre la diferencia entre el colesterol HDL “bueno” y el LDL “malo” y la importancia de reducir los niveles de este último. 

#AmgenCardiovascular #ElColesterolNoAvisa https://t.co/D0dsm87TCu","2023-09-24 22:36 +0000","187.0","4.0","0.0213903743315508","0.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1706065978939818241","https://twitter.com/AmgenMexico/status/1706065978939818241","En este módulo de #LDLXchange 2023, profesionales de la salud cardiovascular hablarán sobre las recomendaciones para la prevención de eventos cardiovasculares en personas de muy alto riesgo.

*Evento dirigido a profesionales de la salud.
#AmgenCardiovascular #ElColesterolNoAvisa https://t.co/u0VojwbtFO","2023-09-24 22:00 +0000","71.0","5.0","0.07042253521126761","0.0","0.0","2.0","1.0","0.0","1.0","0.0","0.0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1705658292905615452","https://twitter.com/AmgenMexico/status/1705658292905615452","La enfermedad cardiovascular aterosclerótica es la principal causa de muerte en América Latina. El control del colesterol LDL reduce el riesgo de ECA. 💪🩺

Más en: https://t.co/hPufEk61bz

#Redúcelo #AimLow #DíaMundialDelCorazón #WHD #ElColesterolNoAvisa #AmgenCardiovascular https://t.co/H3aAVIBFrl","2023-09-23 19:00 +0000","102.0","5.0","0.049019607843137254","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","4","4","13402.0","156.0","0.011640053723324877","3.0","0.0","66.0","4.0","4.0","5.0","36.0","0.0","0","0","0","0","0","38","38"
"1705320562984370238","https://twitter.com/AmgenMexico/status/1705320562984370238","La leucemia es el cáncer infantil con más incidencia en México. 3 de cada 4 casos diagnosticados son leucemia linfoblástica aguda (LLA).

Conoce más en este artículo de @sumedico en el marco del Día Mundial de la Leucemia.

#AmgenHematología #SeptiembreHematológico #LLA https://t.co/1vRXSY9jF2","2023-09-22 20:38 +0000","110.0","3.0","0.02727272727272727","0.0","0.0","2.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1705220410059489569","https://twitter.com/AmgenMexico/status/1705220410059489569","Este 22 de septiembre conmemoramos el Día Mundial de la Leucemia, el cáncer infantil con más casos en México, con más de 1,800 diagnósticos.

Conoce más sobre esta enfermedad en la #Hematopedia: https://t.co/2UoPf9JUCu 

#LLA #SeptiembreHematológico https://t.co/MVT3728kD5","2023-09-22 14:00 +0000","184.0","5.0","0.02717391304347826","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","2","2","18302.0","206.0","0.011255600480821769","9.0","0.0","104.0","7.0","3.0","1.0","52.0","0.0","0","0","0","0","0","30","30"
